ID,Series,Repeat,Ambient Humidity,Ambient Temperature,ECSt mAU,gH+,Leaf Temperature Differential,LEF,Light Intensity (PAR),NPQt,Phi2,PhiNO,PhiNPQ,PS1 Active Centers,PS1 Open Centers,PS1 Over Reduced Centers,PS1 Oxidized Centers,vH+,time,id?,Time of Day,User,Device ID,Label,Treatment,dayspostdrought,weight,Rating ,Rootbiomass,Shootbiomass,Species
3158573,Whole Data Set,1,40.97559,28.12,0.00012,1083.489,-1.37,2.39,7.621,1.561,0.698,0.118,0.184,0.75,0.336,0.324,0.34,0.13,12/3/22 10:43,44,10.72833333,Zachary Noel,31:f4:e8:3e,44,OEO-196,2,356.55,0,,,L. elongata OEO-196
3158574,Whole Data Set,1,40.5166,28.2,0.00013,999.825,-1.27,1.62,4.628,0.289,0.778,0.172,0.05,1.131,1.016,-0.473,0.457,0.13,12/3/22 10:44,45,10.73888889,Zachary Noel,31:f4:e8:3e,45,OEO-305,2,320.28,0,,,M. alpina OEO-305
3158576,Whole Data Set,1,40.49023,28.3,0.00007,211.325,-1.59,2.74,7.859,0.303,0.774,0.173,0.053,245.922,0.001,0.994,0.005,0.015,12/3/22 10:44,46,10.74833333,Zachary Noel,31:f4:e8:3e,46,NDF,2,350.09,0,,,control No-drought
3158577,Whole Data Set,1,40.64258,28.4,0.00008,584.222,-1.41,3.19,9.573,0.363,0.74,0.191,0.069,2.72,0.447,0.326,0.226,0.047,12/3/22 10:45,47,10.75722222,Zachary Noel,31:f4:e8:3e,47,CCH_F37_B,2,311.2,0,,,P. citrinum CCH_F37_B
3158578,Whole Data Set,1,40.45898,28.49,0.00017,726.678,-1.64,2.58,8.752,0.976,0.654,0.175,0.171,1.255,0.2,0.502,0.299,0.124,12/3/22 10:45,48,10.76555556,Zachary Noel,31:f4:e8:3e,48,OEO-198,2,311.99,0,,,L. elongata OEO-198
3160188,Whole Data Set,1,45.75781,22.07,0.00012,143.95,0.7,2.7,7.583,0.533,0.792,0.135,0.072,3.125,0.214,0.639,0.146,0.017,12/5/22 11:52,1,11.87361111,Zachary Noel,31:f4:e8:3e,1,OEO-196,4,189.2,0,,,L. elongata OEO-196
3160189,Whole Data Set,1,46.2207,22.23,0.00008,125.848,0.68,1.68,6.347,1.854,0.589,0.144,0.267,2.673,0.62,0.515,-0.135,0.01,12/5/22 11:52,2,11.88305556,Zachary Noel,31:f4:e8:3e,2,NDF,4,203,0,,,control No-drought
3160191,Whole Data Set,1,46.55957,22.41,0.00009,211.098,0.5,2.82,7.961,0.226,0.787,0.174,0.039,0.848,0.575,-0.258,0.684,0.019,12/5/22 11:53,3,11.89277778,Zachary Noel,31:f4:e8:3e,3,DF,4,174.6,0,,,control drought
3160192,Whole Data Set,1,46.98828,22.57,0.00016,438.028,0.54,2.17,7.249,1.491,0.665,0.134,0.201,-1.215,-0.295,1.802,-0.507,0.07,12/5/22 11:54,4,11.90222222,Zachary Noel,31:f4:e8:3e,4,OEO-198,4,203.64,0,,,L. elongata OEO-198
3160213,Whole Data Set,1,47.2793,22.76,0.00017,1101.888,0.49,2.92,8.419,0.531,0.771,0.15,0.079,1.319,0.852,-0.125,0.273,0.187,12/5/22 11:54,5,11.91027778,Zachary Noel,31:f4:e8:3e,5,CCH_F37_B,4,166.71,0,,,P. citrinum CCH_F37_B
3160254,Whole Data Set,1,47.27148,23.13,0.00013,209.141,0.64,1.71,5.203,0.882,0.732,0.142,0.126,2.289,0.424,0.607,-0.031,0.027,12/5/22 11:55,6,11.93,Zachary Noel,31:f4:e8:3e,6,OEO-305,4,211.47,0,,,M. alpina OEO-305
3160273,Whole Data Set,1,47.28711,23.28,0.00005,-1930.664,0.61,2.64,7.53,0.613,0.78,0.136,0.084,0.84,1.65,-0.9,0.25,-0.097,12/5/22 11:56,7,11.93805556,Zachary Noel,31:f4:e8:3e,7,NVP5,4,215.48,0,,,M. elongata NVP
3160296,Whole Data Set,1,47.22266,23.46,0.0001,399.683,0.43,2.51,7.13,0.699,0.782,0.128,0.09,0.841,1.319,-0.298,-0.021,0.04,12/5/22 11:56,8,11.94638889,Zachary Noel,31:f4:e8:3e,8,OEO-304,4,190.84,0,,,M. calciphila OEO-304
3160297,Whole Data Set,1,47.23242,23.77,0.00005,-1206.74,0.6,3.07,8.845,0.614,0.771,0.142,0.087,0.603,0.653,-0.386,0.734,-0.06,12/5/22 11:57,9,11.96222222,Zachary Noel,31:f4:e8:3e,9,NDF,4,255.05,0,,,control No-drought
3160298,Whole Data Set,1,47.0166,23.96,0.0001,493.204,0.75,2.79,8.413,0.62,0.737,0.162,0.101,1.408,1.066,-0.212,0.145,0.049,12/5/22 11:58,10,11.97166667,Zachary Noel,31:f4:e8:3e,10,OEO-305,4,186.77,0,,,M. alpina OEO-305
3160299,Whole Data Set,1,47.3291,24.13,0.00016,121.187,0.72,3.2,9.105,0.619,0.782,0.134,0.083,1.691,0.483,0.075,0.442,0.019,12/5/22 11:58,11,11.98055556,Zachary Noel,31:f4:e8:3e,11,DF,4,129.16,1,,,control drought
3160300,Whole Data Set,1,47.12988,24.26,0.00013,73.574,0.73,2.77,8.25,1.325,0.747,0.109,0.144,1.207,0.527,0.151,0.322,0.01,12/5/22 11:59,12,11.98916667,Zachary Noel,31:f4:e8:3e,12,OEO-198,4,191.42,0,,,L. elongata OEO-198
3160301,Whole Data Set,1,47.14746,24.43,0.00011,1244.413,0.66,2.55,7.458,0.435,0.761,0.167,0.073,2.405,0.96,-0.065,0.106,0.137,12/5/22 11:59,13,11.99861111,Zachary Noel,31:f4:e8:3e,13,OEO-304,4,176.96,0,,,M. calciphila OEO-304
3160302,Whole Data Set,1,46.93945,24.59,0.00015,2717.224,0.7,2.65,7.844,0.733,0.752,0.143,0.105,0.969,0.717,0.058,0.225,0.408,12/5/22 12:00,14,12.00722222,Zachary Noel,31:f4:e8:3e,14,OEO-196,4,205.56,0,,,L. elongata OEO-196
3160303,Whole Data Set,1,47.00293,24.74,0.00012,173.037,0.73,1.32,4.408,1.207,0.666,0.151,0.183,-0.093,-2.737,16.322,-12.585,0.021,12/5/22 12:00,15,12.01472222,Zachary Noel,31:f4:e8:3e,15,NVP5,4,128.05,1,,,M. elongata NVP
3160315,Whole Data Set,1,47.125,24.89,0.0005,10.651,0.58,2.75,8.415,1.202,0.726,0.125,0.15,0.836,0.388,-0.396,1.007,0.005,12/5/22 12:01,16,12.02361111,Zachary Noel,31:f4:e8:3e,16,CCH_F37_B,4,193.18,0,,,P. citrinum CCH_F37_B
3160323,Whole Data Set,1,46.21484,25.25,0.00012,170.828,0.7,2.94,9.425,0.821,0.693,0.169,0.138,0.335,3.368,-2.459,0.091,0.02,12/5/22 12:02,17,12.0475,Zachary Noel,31:f4:e8:3e,17,OEO-305,4,189.9,0,,,M. alpina OEO-305
3160324,Whole Data Set,1,46.28516,25.36,0.00019,344.976,0.83,3.05,8.323,0.133,0.815,0.163,0.022,0.902,1.271,-1.015,0.744,0.066,12/5/22 12:03,18,12.05555556,Zachary Noel,31:f4:e8:3e,18,NDF,4,278.7,0,,,control No-drought
3160325,Whole Data Set,1,46.0127,25.49,0.00011,782.154,0.42,3.26,9.335,0.351,0.776,0.165,0.058,0.626,2.143,-1.57,0.428,0.086,12/5/22 12:03,19,12.06388889,Zachary Noel,31:f4:e8:3e,19,CCH_F37_B,4,158.98,0,,,P. citrinum CCH_F37_B
3160326,Whole Data Set,1,45.84277,25.68,0.00008,103.157,0.37,2.88,8.442,0.785,0.757,0.136,0.107,1.003,0.221,0.205,0.574,0.008,12/5/22 12:04,20,12.0725,Zachary Noel,31:f4:e8:3e,20,OEO-304,4,173.37,0,,,M. calciphila OEO-304
3160327,Whole Data Set,1,45.57227,25.83,0.00007,108.488,0.18,2.79,7.875,0.362,0.787,0.156,0.057,0.727,1.3,-0.384,0.085,0.008,12/5/22 12:05,21,12.08416667,Zachary Noel,31:f4:e8:3e,21,OEO-196,4,162.41,0,,,L. elongata OEO-196
3160328,Whole Data Set,1,44.95605,25.96,0.00011,975.716,0.33,2.57,7.359,0.346,0.775,0.167,0.058,0.632,2.181,-2.368,1.187,0.107,12/5/22 12:05,22,12.09361111,Zachary Noel,31:f4:e8:3e,22,DF,4,177.45,0,,,control drought
3160329,Whole Data Set,1,44.49023,26.06,0.00009,-52.266,0.13,2.81,8.416,0.419,0.741,0.183,0.077,0,null,null,null,-0.005,12/5/22 12:06,23,12.10222222,Zachary Noel,31:f4:e8:3e,23,NVP5,4,239.58,0,,,M. elongata NVP
3160330,Whole Data Set,1,43.81152,26.17,0.00012,282.241,0.22,3.1,8.832,0.394,0.781,0.157,0.062,1.129,1.997,-1.13,0.132,0.034,12/5/22 12:06,24,12.11027778,Zachary Noel,31:f4:e8:3e,24,OEO-198,4,188.46,0,,,L. elongata OEO-198
3160331,Whole Data Set,1,44.17773,26.27,0.00008,384.193,-2.88,2.29,6.386,0.201,0.796,0.17,0.034,0.538,1.517,-0.932,0.415,0.031,12/5/22 12:07,25,12.11861111,Zachary Noel,31:f4:e8:3e,25,OEO-198,4,199.98,0,,,L. elongata OEO-198
3160332,Whole Data Set,1,43.95117,26.38,0.00017,506.12,-2.71,2.49,7.373,0.591,0.749,0.157,0.093,0.7,3.684,-1.813,-0.871,0.086,12/5/22 12:07,26,12.12777778,Zachary Noel,31:f4:e8:3e,26,OEO-304,4,198.04,0,,,M. calciphila OEO-304
3160333,Whole Data Set,1,43.55762,26.5,0.00013,601.38,-4.69,2.71,7.714,0.321,0.782,0.165,0.053,1.033,1.391,-0.671,0.28,0.078,12/5/22 12:08,27,12.13638889,Zachary Noel,31:f4:e8:3e,27,NDF,4,274.38,0,,,control No-drought
3160334,Whole Data Set,1,42.9541,26.67,0.00011,440.573,-0.52,2.05,7.328,1.844,0.621,0.133,0.246,0.492,1.937,-1.353,0.416,0.048,12/5/22 12:08,28,12.14916667,Zachary Noel,31:f4:e8:3e,28,OEO-196,4,257.61,0,,,L. elongata OEO-196
3160335,Whole Data Set,1,43.26074,26.76,0.00009,1451.647,-0.51,2.61,8.066,0.989,0.719,0.141,0.14,-7.074,-0.028,1.094,-0.066,0.131,12/5/22 12:09,29,12.15694444,Zachary Noel,31:f4:e8:3e,29,OEO-305,4,214.01,0,,,M. alpina OEO-305
3160336,Whole Data Set,1,43.50977,26.88,0.00012,158.363,-0.31,2.38,7.076,0.541,0.749,0.163,0.088,1.051,0.47,0.205,0.324,0.019,12/5/22 12:09,30,12.165,Zachary Noel,31:f4:e8:3e,30,NVP5,4,208.34,0,,,M. elongata NVP
3160337,Whole Data Set,1,42.92969,27.04,0.00007,-1968.693,-0.43,2.52,7.16,0.194,0.782,0.182,0.035,1.522,0.878,-0.139,0.261,-0.138,12/5/22 12:10,31,12.17527778,Zachary Noel,31:f4:e8:3e,31,DF,4,254.59,0,,,control drought
3160338,Whole Data Set,1,42.33105,27.27,0.00008,268.855,-0.52,1.44,5.947,2.713,0.537,0.125,0.338,0.682,0.104,0.003,0.893,0.022,12/5/22 12:11,32,12.19055556,Zachary Noel,31:f4:e8:3e,32,CCH_F37_B,4,221.95,0,,,P. citrinum CCH_F37_B
3160339,Whole Data Set,1,41.49121,27.47,0.00006,432.378,-0.62,3.36,9.266,0.172,0.807,0.165,0.028,0.669,2.526,-1.412,-0.113,0.026,12/5/22 12:12,33,12.21222222,Zachary Noel,31:f4:e8:3e,33,NDF,4,271.15,0,,,control No-drought
3160340,Whole Data Set,1,41.6875,27.54,0.00013,290.585,-5.11,2.9,8.856,0.64,0.728,0.166,0.106,1.332,1.029,-0.392,0.363,0.038,12/5/22 12:13,34,12.21972222,Zachary Noel,31:f4:e8:3e,34,OEO-305,4,265.64,0,,,M. alpina OEO-305
3160341,Whole Data Set,1,41.44629,27.64,0.00007,151.554,-5.65,2.78,8.139,0.188,0.76,0.202,0.038,1.009,1.565,-0.781,0.216,0.011,12/5/22 12:13,35,12.22777778,Zachary Noel,31:f4:e8:3e,35,NVP5,4,302.96,0,,,M. elongata NVP
3160342,Whole Data Set,1,41.19141,27.73,0.00012,200.911,-3.26,2.99,8.78,0.252,0.757,0.194,0.049,0.19,5.885,-5.867,0.982,0.024,12/5/22 12:14,36,12.23583333,Zachary Noel,31:f4:e8:3e,36,CCH_F37_B,4,246.37,0,,,P. citrinum CCH_F37_B
3160343,Whole Data Set,1,40.92676,27.84,0.00009,150.938,-2.13,2.99,8.405,0.276,0.79,0.165,0.045,1.301,0.624,-0.044,0.42,0.014,12/5/22 12:14,37,12.245,Zachary Noel,31:f4:e8:3e,37,OEO-304,4,160.33,0,,,M. calciphila OEO-304
3160344,Whole Data Set,1,41.28125,27.93,0.00011,124.457,-4.12,2.37,7.024,0.597,0.75,0.157,0.093,0.48,2.792,-3.017,1.225,0.014,12/5/22 12:15,38,12.25305556,Zachary Noel,31:f4:e8:3e,38,OEO-196,4,214.84,0,,,L. elongata OEO-196
3160345,Whole Data Set,1,41.20703,28.03,0.00006,867.188,-3.6,2.46,7.069,0.745,0.772,0.13,0.097,1.982,1.761,0.52,-1.281,0.052,12/5/22 12:15,39,12.26027778,Zachary Noel,31:f4:e8:3e,39,OEO-198,4,180.39,0,,,L. elongata OEO-198
3160346,Whole Data Set,1,40.92969,28.14,0.00014,-2446.07,-1.47,2.77,8.407,0.346,0.731,0.2,0.069,0.837,0.732,-0.201,0.469,-0.342,12/5/22 12:16,40,12.26861111,Zachary Noel,31:f4:e8:3e,40,DF,4,204.2,0,,,control drought
3160347,Whole Data Set,1,40.19531,28.35,0.00009,142.803,-3.3,2.77,7.719,0.642,0.797,0.124,0.08,0.902,1.279,-0.681,0.402,0.013,12/5/22 12:17,41,12.28777778,Zachary Noel,31:f4:e8:3e,41,OEO-304,4,191.8,0,,,M. calciphila OEO-304
3160348,Whole Data Set,1,40.18945,28.43,-0.00001,4468.174,-1.18,1.98,5.556,0.336,0.791,0.157,0.053,2.105,0.585,-0.212,0.627,-0.045,12/5/22 12:17,42,12.29611111,Zachary Noel,31:f4:e8:3e,42,DF,4,369.61,0,,,control drought
3160349,Whole Data Set,1,39.90918,28.51,0.00012,340.467,-1.02,2.11,6.641,0.637,0.707,0.179,0.114,0.768,0.468,0.785,-0.253,0.041,12/5/22 12:18,43,12.305,Zachary Noel,31:f4:e8:3e,43,NVP5,4,256.99,0,,,M. elongata NVP
3160350,Whole Data Set,1,39.85645,28.59,0.00006,-8768.561,-1.34,2.16,6.953,1.2,0.689,0.141,0.17,0.923,0.401,0.436,0.163,-0.526,12/5/22 12:18,44,12.31305556,Zachary Noel,31:f4:e8:3e,44,OEO-196,4,289.86,0,,,L. elongata OEO-196
3160351,Whole Data Set,1,39.73633,28.71,0.00013,432.763,-1.82,0.98,2.955,0.501,0.74,0.173,0.087,1.659,0.536,0.308,0.156,0.056,12/5/22 12:19,45,12.32138889,Zachary Noel,31:f4:e8:3e,45,OEO-305,4,230.18,0,,,M. alpina OEO-305
3160352,Whole Data Set,1,39.31348,28.82,0.00008,151.516,-5.15,2.67,7.632,0.356,0.776,0.165,0.059,1.045,0.583,0.246,0.171,0.012,12/5/22 12:19,46,12.33194444,Zachary Noel,31:f4:e8:3e,46,NDF,4,266.58,0,,,control No-drought
3160354,Whole Data Set,1,39.16602,28.91,0.00004,174.651,-1.92,1.98,6.437,0.904,0.682,0.167,0.151,0.748,0.162,-0.101,0.939,0.007,12/5/22 12:20,47,12.34166667,Zachary Noel,31:f4:e8:3e,47,CCH_F37_B,4,225.42,0,,,P. citrinum CCH_F37_B
3160355,Whole Data Set,1,39.08789,28.98,0.0001,233.212,-4.37,1.84,5.531,0.853,0.739,0.141,0.12,1.024,0.303,0.714,-0.017,0.023,12/5/22 12:21,48,12.35,Zachary Noel,31:f4:e8:3e,48,OEO-198,4,240.94,0,,,L. elongata OEO-198
3162715,Whole Data Set,1,53.89062,22.27,0.00767,294.969,1.22,139.12,737.866,0.811,0.419,0.321,0.26,1.898,0.175,0.521,0.304,2.262,12/7/22 15:11,1,15.19694444,Zachary Noel,31:f4:e8:3e,1,OEO-196,6,142,2,,,L. elongata OEO-196
3162717,Whole Data Set,1,54.24902,22.51,0.00027,732.55,1.48,103.97,419.311,0.467,0.551,0.306,0.143,1.278,0.08,0.519,0.401,0.198,12/7/22 15:13,2,15.22333333,Zachary Noel,31:f4:e8:3e,2,NDF,6,191.07,0,,,control No-drought
3162720,Whole Data Set,1,54.38574,23.17,-0.00457,-23.013,3.94,50.09,260.072,0.455,0.428,0.393,0.179,2.172,0.31,0.397,0.293,0.105,12/7/22 15:14,3,15.24305556,Zachary Noel,31:f4:e8:3e,3,DF,6,124.65,2,,,control drought
3162722,Whole Data Set,1,54.31641,23.46,0.00038,421.856,2.11,107.4,383.08,0.207,0.623,0.313,0.065,1.148,0.123,0.516,0.361,0.16,12/7/22 15:15,4,15.25055556,Zachary Noel,31:f4:e8:3e,4,OEO-198,6,160.42,2,,,L. elongata OEO-198
3162725,Whole Data Set,1,54.30859,24.08,0.00135,54.821,2.39,65.07,416.701,0.951,0.347,0.335,0.318,1.688,0.418,0.23,0.352,0.074,12/7/22 15:16,5,15.26777778,Zachary Noel,31:f4:e8:3e,5,CCH_F37_B,6,126.34,3,,,P. citrinum CCH_F37_B
3162727,Whole Data Set,1,54.04883,24.38,0.00072,61.651,2.55,42.34,200.195,0.617,0.47,0.328,0.202,2.239,0.302,0.53,0.168,0.044,12/7/22 15:16,6,15.27638889,Zachary Noel,31:f4:e8:3e,6,OEO-305,6,147.87,1,,,M. alpina OEO-305
3162729,Whole Data Set,1,54.16016,24.71,0.00128,81.751,2.64,76.9,350.181,1.409,0.488,0.213,0.299,2.138,0.283,0.344,0.374,0.105,12/7/22 15:17,7,15.28472222,Zachary Noel,31:f4:e8:3e,7,NVP5,6,158.29,1,,,M. elongata NVP
3162731,Whole Data Set,1,53.83398,25.05,0.00248,17.936,4.88,63.13,375.093,0.973,0.374,0.317,0.309,3.239,0.244,0.33,0.427,0.044,12/7/22 15:17,8,15.29416667,Zachary Noel,31:f4:e8:3e,8,OEO-304,6,145.62,1,,,M. calciphila OEO-304
3162734,Whole Data Set,1,51.70703,25.49,0.00012,1728.297,3.22,1.38,3.863,0.039,0.793,0.199,0.008,0.633,1.879,-1.232,0.353,0.207,12/7/22 15:18,9,15.30666667,Zachary Noel,31:f4:e8:3e,9,NDF,6,220.8,0,,,control No-drought
3162736,Whole Data Set,1,51.09375,25.83,0.00007,76.136,2.48,1.84,5.309,0.101,0.77,0.209,0.021,0.571,0.373,0.235,0.393,0.005,12/7/22 15:18,10,15.31527778,Zachary Noel,31:f4:e8:3e,10,OEO-305,6,138.2,2,,,M. alpina OEO-305
3162738,Whole Data Set,1,51.02734,26.09,0.0001,79.959,2.48,2.83,8.091,0.401,0.777,0.159,0.064,1.235,0.569,0.166,0.265,0.008,12/7/22 15:19,11,15.32361111,Zachary Noel,31:f4:e8:3e,11,DF,6,98.37,3,,,control drought
3162740,Whole Data Set,1,50.53906,26.38,0.00019,-171.64,2.43,2.59,7.543,0.46,0.763,0.162,0.075,1.702,0.155,0.635,0.21,-0.033,12/7/22 15:19,12,15.33194444,Zachary Noel,31:f4:e8:3e,12,OEO-198,6,141.53,3,,,L. elongata OEO-198
3162743,Whole Data Set,1,50.05273,26.83,null,null,2.5,10.56,32.276,0.278,0.727,0.214,0.059,2.167,0.069,0.809,0.122,null,12/7/22 15:20,13,15.34416667,Zachary Noel,31:f4:e8:3e,13,OEO-304,6,128.11,3,,,M. calciphila OEO-304
3162744,Whole Data Set,1,49.09082,27.17,0.00012,-144.249,2.3,7.82,24.194,0.182,0.718,0.239,0.043,1.253,0.617,0.104,0.279,-0.017,12/7/22 15:21,14,15.35611111,Zachary Noel,31:f4:e8:3e,14,OEO-196,6,148.2,2,,,L. elongata OEO-196
3162745,Whole Data Set,1,47.60938,27.46,0.00197,10.385,2.15,21.95,168.167,1.254,0.29,0.315,0.395,2.151,0.255,0.489,0.256,0.02,12/7/22 15:21,15,15.36638889,Zachary Noel,31:f4:e8:3e,15,NVP5,6,102.83,4,,,M. elongata NVP
3162746,Whole Data Set,1,47.50977,27.64,0.00002,-54.92,2.23,14.59,44.47,0.403,0.729,0.193,0.078,1.245,0.094,0.481,0.426,-0.001,12/7/22 15:22,16,15.37444444,Zachary Noel,31:f4:e8:3e,16,CCH_F37_B,6,149.08,3,,,P. citrinum CCH_F37_B
3162747,Whole Data Set,1,44.75879,28.05,0.00058,179.761,2.2,95.87,368.571,0.519,0.578,0.278,0.144,0.546,0.187,-0.023,0.836,0.104,12/7/22 15:23,17,15.39111111,Zachary Noel,31:f4:e8:3e,17,OEO-305,6,144.58,0,,,M. alpina OEO-305
3162748,Whole Data Set,1,44.80078,28.24,0.00025,195.95,2.13,121.13,423.243,0.223,0.636,0.298,0.066,0.872,0.262,-0.003,0.742,0.049,12/7/22 15:23,18,15.39888889,Zachary Noel,31:f4:e8:3e,18,NDF,6,262.63,0,,,control No-drought
3162749,Whole Data Set,1,44.51172,28.46,0.00105,86.024,2.01,89.76,427.1,1.284,0.467,0.233,0.299,2.248,0.199,0.377,0.424,0.09,12/7/22 15:24,19,15.40694444,Zachary Noel,31:f4:e8:3e,19,CCH_F37_B,6,119.48,3,,,P. citrinum CCH_F37_B
3162750,Whole Data Set,1,43.4541,29.03,0.00018,-6736.987,1.9,2.71,8.48,0.584,0.709,0.184,0.107,2.301,-0.01,0.744,0.267,-1.213,12/7/22 15:26,20,15.43388889,Zachary Noel,31:f4:e8:3e,20,OEO-304,6,134.56,3,,,M. calciphila OEO-304
3162751,Whole Data Set,1,43.53711,29.14,0.00007,132.961,-1.89,1.42,3.994,0.259,0.79,0.167,0.043,1.423,0.16,0.497,0.343,0.009,12/7/22 15:26,21,15.44055556,Zachary Noel,31:f4:e8:3e,21,OEO-196,6,126.45,2,,,L. elongata OEO-196
3162752,Whole Data Set,1,43.59766,29.28,0.0001,-16862.251,1.05,0.95,2.693,0.349,0.787,0.158,0.055,1.451,0.222,0.487,0.291,-1.686,12/7/22 15:26,22,15.44833333,Zachary Noel,31:f4:e8:3e,22,DF,6,130.59,1,,,control drought
3162753,Whole Data Set,1,42.93457,29.37,0.00009,-0.002,1.14,2.28,6.608,0.37,0.766,0.17,0.063,-0.816,-1.174,1.892,0.282,0,12/7/22 15:27,23,15.45583333,Zachary Noel,31:f4:e8:3e,23,NVP5,6,166.45,0,,,M. elongata NVP
3162754,Whole Data Set,1,41.85352,29.48,0.0001,2062.36,0.57,2.76,7.882,0.333,0.778,0.166,0.055,0.201,5.294,-6.091,1.797,0.206,12/7/22 15:27,24,15.46361111,Zachary Noel,31:f4:e8:3e,24,OEO-198,6,145.79,1,,,L. elongata OEO-198
3162755,Whole Data Set,1,39.61133,29.63,0.00011,381.693,-1.7,2.52,7.147,0.196,0.782,0.182,0.036,0.792,1.372,-0.534,0.162,0.042,12/7/22 15:28,25,15.47916667,Zachary Noel,31:f4:e8:3e,25,OEO-198,6,152.12,1,,,L. elongata OEO-198
3162756,Whole Data Set,1,40.66309,29.7,0.00011,63.097,-1.17,1.91,5.464,0.392,0.776,0.161,0.063,1.598,0.221,0.347,0.432,0.007,12/7/22 15:29,26,15.48666667,Zachary Noel,31:f4:e8:3e,26,OEO-304,6,138.85,1,,,M. calciphila OEO-304
3162757,Whole Data Set,1,40.69434,29.79,0.00016,714.119,0.46,2.05,6.658,1.038,0.685,0.155,0.161,1.281,0.738,0.119,0.143,0.114,12/7/22 15:29,27,15.495,Zachary Noel,31:f4:e8:3e,27,NDF,6,250.02,0,,,control No-drought
3162758,Whole Data Set,1,40.16016,29.85,0.00011,2115.31,0.34,2.44,7.583,0.821,0.715,0.157,0.129,0.325,3.238,-3.244,1.006,0.233,12/7/22 15:30,28,15.50222222,Zachary Noel,31:f4:e8:3e,28,OEO-196,6,186.48,0,,,L. elongata OEO-196
3162759,Whole Data Set,1,40.07129,29.93,0.00011,-227.349,0.18,2.45,6.866,0.311,0.792,0.159,0.049,1.198,0.45,0.543,0.007,-0.025,12/7/22 15:30,29,15.50916667,Zachary Noel,31:f4:e8:3e,29,OEO-305,6,156.7,1,,,M. alpina OEO-305
3162761,Whole Data Set,1,39.86035,30,0.00009,-3268.147,-0.45,1.57,4.578,0.568,0.76,0.153,0.087,0.499,0.611,-0.423,0.812,-0.294,12/7/22 15:31,30,15.51666667,Zachary Noel,31:f4:e8:3e,30,NVP5,6,147.47,2,,,M. elongata NVP
3162763,Whole Data Set,1,39.4834,30.08,0.00004,886.419,-1.07,1.09,3.026,0.22,0.8,0.164,0.036,1.289,0.711,-0.1,0.389,0.035,12/7/22 15:31,31,15.52333333,Zachary Noel,31:f4:e8:3e,31,DF,6,169.03,0,,,control drought
3162765,Whole Data Set,1,38.87598,30.15,-0.00841,119.981,-0.22,2.94,9.118,0.918,0.717,0.148,0.136,-1.155,-0.276,1.343,-0.066,-1.009,12/7/22 15:31,32,15.53138889,Zachary Noel,31:f4:e8:3e,32,CCH_F37_B,6,160.75,0,,,P. citrinum CCH_F37_B
3162768,Whole Data Set,1,38.37012,30.28,0.00006,360.689,-0.17,1.47,5.639,2.316,0.578,0.127,0.295,1.523,2.248,-0.393,-0.855,0.022,12/7/22 15:32,33,15.54472222,Zachary Noel,31:f4:e8:3e,33,NDF,6,238.07,0,,,control No-drought
3162769,Whole Data Set,1,38.75977,30.33,0.00071,11.45,-0.54,2.66,7.674,0.325,0.769,0.174,0.057,-0.001,200.819,3472.132,-3671.951,0.008,12/7/22 15:33,34,15.55222222,Zachary Noel,31:f4:e8:3e,34,OEO-305,6,194.25,0,,,M. alpina OEO-305
3162771,Whole Data Set,1,38.7998,30.38,0.00013,192.264,-5.87,2.5,7.226,0.213,0.769,0.19,0.041,0.702,2.291,-1.325,0.034,0.025,12/7/22 15:33,35,15.55972222,Zachary Noel,31:f4:e8:3e,35,NVP5,6,230.75,0,,,M. elongata NVP
3162773,Whole Data Set,1,38.92383,30.42,0.00011,536.821,-3.35,2.16,6.219,0.275,0.772,0.179,0.049,-0.216,-4.825,7.616,-1.791,0.059,12/7/22 15:34,36,15.56694444,Zachary Noel,31:f4:e8:3e,36,CCH_F37_B,6,179.14,1,,,P. citrinum CCH_F37_B
3162775,Whole Data Set,1,38.77148,30.47,-0.00011,-1.344,-1.24,2.14,6.23,0.346,0.763,0.176,0.061,2.249,0.265,0.51,0.225,0,12/7/22 15:34,37,15.57444444,Zachary Noel,31:f4:e8:3e,37,OEO-304,6,124.43,3,,,M. calciphila OEO-304
3162777,Whole Data Set,1,37.75293,30.52,0.00006,381.029,-3.09,2.57,7.719,0.589,0.739,0.164,0.097,0.582,1.928,-1.404,0.476,0.023,12/7/22 15:34,38,15.58305556,Zachary Noel,31:f4:e8:3e,38,OEO-196,6,146.02,2,,,L. elongata OEO-196
3162779,Whole Data Set,1,38.29785,30.56,-21.51567,0,-1.93,2.26,6.673,0.549,0.751,0.161,0.088,0.858,0.186,0.005,0.809,0,12/7/22 15:35,39,15.59027778,Zachary Noel,31:f4:e8:3e,39,OEO-198,6,127.21,3,,,L. elongata OEO-198
3162781,Whole Data Set,1,38.31348,30.6,0.00004,-4036.66,-4.03,2.34,7.307,1.088,0.713,0.137,0.149,1.207,0.227,0.233,0.54,-0.161,12/7/22 15:35,40,15.59888889,Zachary Noel,31:f4:e8:3e,40,DF,6,148.05,0,,,control drought
3162783,Whole Data Set,1,37.5,30.65,0.00014,368.71,-3.72,2.58,7.719,0.613,0.743,0.159,0.098,0.865,0.31,0.279,0.411,0.052,12/7/22 15:36,41,15.61138889,Zachary Noel,31:f4:e8:3e,41,OEO-304,6,141.4,1,,,M. calciphila OEO-304
